"Ternio
(TERN)";"0.059726
USD"
"Prototanium
(PR)";"1.27
USD"
"Nyancoin
(NYAN)";"0.000686
USD"
"Atomic Coin
(ATOM)";"0.010690
USD"
"InflationCoin
(IFLT)";"0.000013
USD"
"IrishCoin
(IRL)";"0.005489
USD"
"Starta
(STA)";"0.490833
USD"
"REPO
(REPO)";"0.087624
USD"
"Etherecash
(ECH)";"0.013160
USD"
"Ethereum Gold
(ETG)";"0.013536
USD"
"nUSD
(NUSD)";"1.00
USD"
"Digital Money Bits
(DMB)";"0.005752
USD"
"Credence Coin
(CRDNC)";"0.009394
USD"
"FlutterCoin
(FLT)";"0.000998
USD"
"COMSA [XEM]
(CMS)";"0.211238
USD"
"WavesGo
(WGO)";"0.016229
USD"
"Sativacoin
(STV)";"0.015218
USD"
"MIRQ
(MRQ)";"0.005117
USD"
"OctoCoin
(888)";"0.002309
USD"
"Arbitracoin
(ATC)";"0.006053
USD"
"Mercury Protocol
(GMT)";"0.009749
USD"
"DigiPulse
(DGPT)";"0.380809
USD"
"AquariusCoin
(ARCO)";"0.174465
USD"
"GeertCoin
(GEERT)";"0.005241
USD"
"YENTEN
(YTN)";"0.009584
USD"
"Consensus
(SEN)";"0.016026
USD"
"BT2 [CST]
(BT2)";"9.88
USD"
"Oceanlab
(OCL)";"0.008082
USD"
"RussiaCoin
(RC)";"0.166967
USD"
"LiteCoin Ultra
(LTCU)";"0.016786
USD"
"Universe
(UNI)";"0.025473
USD"
"HODL Bucks
(HDLB)";"0.016286
USD"
"BOAT
(BOAT)";"0.001061
USD"
"CryptopiaFeeShares
(CEFS)";"673.25
USD"
"UniCoin
(UNIC)";"0.180889
USD"
"Magnetcoin
(MAGN)";"0.050928
USD"
"ORS Group
(ORS)";"0.045298
USD"
"TopCoin
(TOP)";"0.000801
USD"
"XTD Coin
(XTD)";"0.000125
USD"
"RefToken
(REF)";"1.54
USD"
"Wink
(WINK)";"0.000314
USD"
"First Bitcoin
(BIT)";"0.010296
USD"
"Debitcoin
(DBTC)";"0.005489
USD"
"Independent Money System
(IMS)";"0.006988
USD"
"Fujinto
(NTO)";"0.001961
USD"
"Magnum
(MGM)";"0.000748
USD"
"Etheriya
(RIYA)";"0.425173
USD"
"Pure
(PURE)";"0.011980
USD"
"Coupecoin
(COUPE)";"0.000045
USD"
"Runners
(RUNNERS)";"0.000187
USD"
"Nekonium
(NUKO)";"0.005304
USD"
"ZIP
(ZIP)";"0.004361
USD"
"ChanCoin
(CHAN)";"0.009984
USD"
"SoonCoin
(SOON)";"0.004615
USD"
"BROTHER
(BRAT)";"0.000270
USD"
"Wild Crypto
(WILD)";"0.017200
USD"
"UnlimitedIP
(UIP)";"0.010633
USD"
"LiteBitcoin
(LBTC)";"0.001342
USD"
"Skeincoin
(SKC)";"0.024959
USD"
"Ethereum Movie Venture
(EMV)";"0.069945
USD"
"Morpheus Network
(MORPH)";"0.129585
USD"
"BitCoal
(COAL)";"0.007870
USD"
"Sense
(SENSE)";"0.038532
USD"
"HashCoin
(HSC)";"0.002297
USD"
"Blakecoin
(BLC)";"0.014956
USD"
"Cybereits
(CRE)";"0.018148
USD"
"Show
(SHOW)";"0.002206
USD"
"Qvolta
(QVT)";"0.048540
USD"
"Bitstar
(BITS)";"0.015849
USD"
"CarBlock
(CAR)";"0.022820
USD"
"Kurrent
(KURT)";"0.003583
USD"
"Signatum
(SIGT)";"0.001622
USD"
"Engine
(EGCC)";"0.001533
USD"
"DaxxCoin
(DAXX)";"0.000374
USD"
"BritCoin
(BRIT)";"0.011601
USD"
"Couchain
(COU)";"0.000100
USD"
"bitJob
(STU)";"0.012014
USD"
"Metronome
(MET)";"2.60
USD"
"Goodomy
(GOOD)";"0.003923
USD"
"FairGame
(FAIR)";"0.011661
USD"
"UltraCoin
(UTC)";"0.003368
USD"
"ExchangeN
(EXN)";"0.006240
USD"
"ELTCOIN
(ELTCOIN)";"0.005481
USD"
"ZINC
(ZINC)";"0.138497
USD"
"Darsek
(KED)";"0.004698
USD"
"Vcash
(XVC)";"0.078059
USD"
"MustangCoin
(MST)";"0.199038
USD"
"ClubCoin
(CLUB)";"0.557408
USD"
"BlockCAT
(CAT)";"0.217141
USD"
"Datacoin
(DTC)";"0.004491
USD"
"Centurion
(CNT)";"0.003803
USD"
"PLNcoin
(PLNC)";"0.001560
USD"
"Global Tour Coin
(GTC)";"0.002700
USD"
"Jingtum Tech
(SWTC)";"0.003825
USD"
"DynamicCoin
(DMC)";"0.000250
USD"
"Ethbits
(ETBS)";"0.998352
USD"
"Jetcoin
(JET)";"0.052548
USD"
"RabbitCoin
(RBBT)";"0.000019
USD"
"Money
($$$)";"0.001622
USD"
"Bastonet
(BSN)";"0.000062
USD"
"Save and Gain
(SANDG)";"0.005304
USD"
"MarteXcoin
(MXT)";"0.177944
USD"
"FAPcoin
(FAP)";"0.000437
USD"
"BitSoar
(BSR)";"0.000250
USD"
"UGAIN
(GAIN)";"0.001126
USD"
"IncaKoin
(NKA)";"0.000046
USD"
"Avoncoin
(ACN)";"0.000187
USD"
"Acoin
(ACOIN)";"0.080679
USD"
"EmberCoin
(EMB)";"4e-07
USD"
"Donationcoin
(DON)";"0.000624
USD"
"EverGreenCoin
(EGC)";"0.082666
USD"
"SISA
(SISA)";"0.006557
USD"
"ZetaMicron
(ZMC)";"0.000062
USD"
"BERNcash
(BERN)";"0.001810
USD"
"Ulatech
(ULA)";"0.011364
USD"
"Masternodecoin
(MTNC)";"0.012417
USD"
"Qbic
(QBIC)";"0.075538
USD"
"Mincoin
(MNC)";"0.013478
USD"
"OneLedger
(OLT)";"0.039227
USD"
"AvatarCoin
(AV)";"0.033070
USD"
"HoboNickels
(HBN)";"0.006489
USD"
"SongCoin
(SONG)";"0.001310
USD"
"Dollar Online
(DOLLAR)";"0.012474
USD"
"Useless Ethereum Token
(UET)";"0.013425
USD"
"Wild Beast Block
(WBB)";"0.211874
USD"
"Polcoin
(PLC)";"0.001185
USD"
"Skrumble Network
(SKM)";"0.016820
USD"
"Ultimate Secure Cash
(USC)";"0.031893
USD"
"Advanced Technology Coin
(ARC)";"0.018320
USD"
"Target Coin
(TGT)";"0.003744
USD"
"bitqy
(BQ)";"0.002059
USD"
"Everipedia
(IQ)";"0.037805
USD"
"Super Bitcoin
(SBTC)";"11.30
USD"
"Aricoin
(ARI)";"0.001186
USD"
"ICO OpenLedger
(ICOO)";"0.664609
USD"
"Phoenixcoin
(PXC)";"0.005489
USD"
"HalalChain
(HLC)";"0.066328
USD"
"Philosopher Stones
(PHS)";"0.036449
USD"
"Read
(READ)";"0.008547
USD"
"BeeKan
(BKBT)";"0.007402
USD"
"CarTaxi Token
(CTX)";"0.004368
USD"
"Golfcoin
(GOLF)";"0.000187
USD"
"Fargocoin
(FRGC)";"0.320591
USD"
"AdCoin
(ACC)";"0.029619
USD"
"Elcoin
(EL)";"0.050230
USD"
"Essentia
(ESS)";"0.022560
USD"
"Ratecoin
(XRA)";"0.001314
USD"
"Zayedcoin
(ZYD)";"0.005054
USD"
"ALIS
(ALIS)";"0.062024
USD"
"Origami
(ORI)";"0.116575
USD"
"Zurcoin
(ZUR)";"0.001186
USD"
"StockChain
(SCC)";"0.003769
USD"
"Cropcoin
(CROP)";"0.002803
USD"
"Swing
(SWING)";"0.034806
USD"
"Happycoin
(HPC)";"0.028933
USD"
"PoSW Coin
(POSW)";"0.035754
USD"
"WorldCoin
(WDC)";"0.006923
USD"
"Golos Gold
(GBG)";"0.043539
USD"
"Slevin
(SLEVIN)";"0.000374
USD"
"iEthereum
(IETH)";"0.016425
USD"
"Quebecoin
(QBC)";"0.005179
USD"
"Octanox
(OTX)";"0.016794
USD"
"Superior Coin
(SUP)";"0.000485
USD"
"Bitcloud
(BTDX)";"0.057307
USD"
"Monero Classic
(XMC)";"2.57
USD"
"Allion
(ALL)";"0.011980
USD"
"SagaCoin
(SAGA)";"0.081999
USD"
"EncryptoTel [ETH]
(ETT)";"0.019780
USD"
"Renos
(RNS)";"0.015599
USD"
"BowsCoin
(BSC)";"0.002808
USD"
"PlexCoin
(PLX)";"0.005891
USD"
"Birds
(BIRDS)";"0.000187
USD"
"SIGMAcoin
(SIGMA)";"0.008669
USD"
"Pabyosi Coin (Special)
(PCS)";"0.081018
USD"
"Bowhead
(AHT)";"0.090226
USD"
"DigitalDevelopersFund
(DDF)";"0.018638
USD"
"Sakuracoin
(SKR)";"0.001622
USD"
"ZenGold
(ZENGOLD)";"0.009461
USD"
"Tattoocoin (Limited Edition)
(TLE)";"0.665496
USD"
"Version
(V)";"0.002184
USD"
"ENTCash
(ENT)";"0.024932
USD"
"GuccioneCoin
(GCC)";"0.001810
USD"
"PureVidz
(VIDZ)";"0.001011
USD"
"Vault Coin
(VLTC)";"0.000062
USD"
"Visio
(VISIO)";"0.001223
USD"
"GoNetwork
(GOT)";"0.734545
USD"
"iBank
(IBANK)";"0.001988
USD"
"Creatio
(XCRE)";"0.002051
USD"
"Elementrem
(ELE)";"0.012479
USD"
"Numus
(NMS)";"0.149753
USD"
"Crystal Clear
(CCT)";"0.034712
USD"
"GeyserCoin
(GSR)";"0.556988
USD"
"Dix Asset
(DIX)";"0.000007
USD"
"LightChain
(LIGHT)";"0.000732
USD"
"AsiaCoin
(AC)";"0.002051
USD"
"Master Swiscoin
(MSCN)";"0.002095
USD"
"Russian Miner Coin
(RMC)";"4179.97
USD"
"Comet
(CMT)";"0.058926
USD"

"RichCoin
(RICHX)";"0.002744
USD"
"Tattoocoin (Standard Edition)
(TSE)";"0.005008
USD"
"MyToken
(MT)";"0.014872
USD"
"PiplCoin
(PIPL)";"0.003683
USD"
"PayCoin
(XPY)";"0.022874
USD"
"SuperCoin
(SUPER)";"0.007455
USD"
"TraDove B2BCoin
(BBC)";"0.019115
USD"
"Sterlingcoin
(SLG)";"0.051540
USD"
"FuturoCoin
(FTO)";"10.14
USD"
"LiteBar
(LTB)";"0.183821
USD"
"ChatCoin
(CHAT)";"0.040225
USD"
"Jiyo
(JIYO)";"0.034910
USD"
"ParallelCoin
(DUO)";"0.510085
USD"
"Titcoin
(TIT)";"0.003879
USD"
"Marijuanacoin
(MAR)";"0.019085
USD"
"Tigercoin
(TGC)";"0.005489
USD"
"Sociall
(SCL)";"0.132873
USD"
"Crypto
(CTO)";"0.007488
USD"
"Jesus Coin
(JC)";"0.000030
USD"
"United Crypto Community
(UCOM)";"0.380625
USD"
"SPINDLE
(SPD)";"0.007410
USD"
"KEY
(KEY)";"0.004747
USD"
"Swisscoin
(SIC)";"0.000374
USD"
"Ccore
(CCO)";"0.083340
USD"
"Innova
(INN)";"0.104016
USD"
"KekCoin
(KEK)";"0.077247
USD"
"MiloCoin
(MILO)";"0.002371
USD"
"Bodhi [ETH]
(BOE)";"0.061120
USD"
"Quark
(QRK)";"0.006115
USD"
"Ixcoin
(IXC)";"0.062745
USD"
"ArbitrageCT
(ARCT)";"0.002975
USD"
"Pakcoin
(PAK)";"0.002458
USD"
"RedCoin
(RED)";"0.000998
USD"
"AC3
(AC3)";"0.151482
USD"
"Veros
(VRS)";"0.027401
USD"
"BTCMoon
(BTCM)";"0.002549
USD"
"Growers International
(GRWI)";"0.432411
USD"
"UR
(UR)";"0.000686
USD"
"AllSafe
(ASAFE2)";"0.009763
USD"
"GlassCoin
(GLS)";"0.004992
USD"
"StrikeBitClub
(SBC)";"0.000864
USD"
"Cubits
(QBT)";"0.001310
USD"
"Quotient
(XQN)";"0.002246
USD"
"ZSEcoin
(ZSE)";"0.004743
USD"
"Bitbase
(BTBc)";"0.000437
USD"
"Tidex Token
(TDX)";"0.075669
USD"
"NumusCash
(NUMUS)";"0.000063
USD"
"SecureCoin
(SRC)";"0.010790
USD"
"PHI Token
(PHI)";"0.215548
USD"
"StarCash Network
(STARS)";"0.130667
USD"
"Curriculum Vitae
(CVH)";"0.003799
USD"
"President Johnson
(GARY)";"0.025011
USD"
"Elysium
(ELS)";"0.004805
USD"
"Phantomx
(PNX)";"0.001341
USD"
"RealChain
(RCT)";"0.044454
USD"
"POLY AI
(AI)";"0.000122
USD"
"Coimatic 2.0
(CTIC2)";"0.000562
USD"
"Veltor
(VLT)";"0.075764
USD"
"Halcyon
(HAL)";"0.053537
USD"
"EagleCoin
(EAGLE)";"0.082076
USD"
"PetroDollar
(XPD)";"0.006416
USD"
"Molecular Future
(MOF)";"0.239015
USD"
"REAL
(REAL)";"0.319549
USD"
"OFCOIN
(OF)";"0.000671
USD"
"FLiK
(FLIK)";"0.007363
USD"
"EquiTrader
(EQT)";"0.058522
USD""A"Akuya Coin
(AKY)";"0.001810
USD"

"KiloCoin
(KLC)";"0.031668
USD"
"Accelerator Network
(ACC)";"0.703906
USD"
"United Bitcoin
(UBTC)";"4.82
USD"
"Startcoin
(START)";"0.008132
USD"
"ChessCoin
(CHESS)";"0.003990
USD"
"bitGold
(BITGOLD)";"1429.58
USD"
"iCoin
(ICN)";"0.005741
USD"
"Saifu
(SFU)";"0.049044
USD"
"TRAXIA
(TMT)";"0.017613
USD"
"BitMart Token
(BMX)";"0.044645
USD"
"Sphre AIR
(XID)";"0.084885
USD"
"DigiCube
(CUBE)";"0.000066
USD"
"SmartCoin
(SMC)";"0.007783
USD"
"Bitgem
(BTG)";"3.90
USD"
"ParkByte
(PKB)";"0.021589
USD"
"Pioneer Coin
(PCOIN)";"0.010108
USD"
"ERA
(ERA)";"0.016825
USD"
SD"
"imbrex
(REX)";"0.229816
USD"
"PonziCoin
(PONZI)";"0.026644
USD"
"Live Stars
(LIVE)";"0.020404
USD"
"PlayerCoin
(PLACO)";"0.000686
USD"
"FlypMe
(FYP)";"0.087356
USD"
"Virta Unique Coin
(VUC)";"0.000561
USD"
"StarCoin
(KST)";"0.009724
USD"
"Bitvolt
(VOLT)";"0.000811
USD"
"Bitcoin Fast
(BCF)";"0.008112
USD"
"Vipstar Coin
(VIPS)";"0.000250
USD"
"BitQuark
(BTQ)";"0.007048
USD"
"Eternity
(ENT)";"0.031452
USD"
"Francs
(FRN)";"0.010009
USD"
"E-coin
(ECN)";"3.56
USD"
"EcoCoin
(ECO)";"0.068670
USD"
"SmileyCoin
(SMLY)";"0.000019
USD"
"BigONE Token
(BIG)";"0.454257
USD"
"BlockMesh
(BMH)";"0.008482
USD"
"PRCoin
(PRC)";"0.000623
USD"
"Artex Coin
(ATX)";"0.000277
USD"
"TerraNova
(TER)";"1.55
USD"
"MagicCoin
(MAGE)";"0.096528
USD"
"Indicoin
(INDI)";"0.013727
USD"
"Halloween Coin
(HALLO)";"0.000192
USD"
"SuperNET
(UNITY)";"37.67
USD"
"Bank Coin
(BANK)";"0.015038
USD"
SD"
"Monster Byte
(MBI)";"0.060039
USD"
"GoldMaxCoin
(GMX)";"0.000562
USD"
"Project Pai
(PAI)";"1.02
USD"
"HomeBlockCoin
(HBC)";"0.012162
USD"
"HealthyWormCoin
(WORM)";"0.000312
USD"
"Coni
(CONI)";"0.105076
USD"
"Interzone
(ITZ)";"0.002371
USD"
"Flaxscript
(FLAX)";"0.007439
USD"
"BitBar
(BTB)";"8.56
USD"
"Intelligent Investment Chain
(IIC)";"0.001994
USD"
"Kcash
(KCASH)";"0.075249
USD"
"FujiCoin
(FJC)";"0.000312
USD"
"Lightning Bitcoin
(LBTC)";"10.20
USD"
"CoinMeet
(MEET)";"0.019833
USD"
"Super Game Chain
(SGCC)";"0.001637
USD"
"Wowbit
(WWB)";"0.152952
USD"
"NetCoin
(NET)";"0.000562
USD"
"Bitzeny
(ZNY)";"0.008129
USD"
"Filecoin [Futures]
(FIL)";"6.89
USD"
"VapersCoin
(VPRC)";"0.000062
USD"
"T-coin
(TCOIN)";"0.000062
USD"
"Bitcoin Scrypt
(BTCS)";"0.017339
USD"
"InsurChain
(INSUR)";"0.001580
USD"
"Atonomi
(ATMI)";"0.032568
USD"
"Rimbit
(RBT)";"0.001273
USD"

"Advanced Internet Blocks
(AIB)";"0.011197
USD"
"TOKYO
(TOKC)";"0.000999
USD"
"Open Platform
(OPEN)";"0.064690
USD"
"Dragon Coins
(DRG)";"0.270241
USD"
"ValueChain
(VLC)";"0.034674
USD"
"IPChain
(IPC)";"0.481867
USD"
"Impact
(IMX)";"0.001435
USD"
"Freicoin
(FRC)";"0.006177
USD"
"Leviar
(XLC)";"0.019093
USD"
"Bolivarcoin
(BOLI)";"0.009356
USD"
"Luna Coin
(LUNA)";"0.017208
USD"
"ARbit
(ARB)";"0.002933
USD"
"Lendroid Support Token
(LST)";"0.002878
USD"
"KingN Coin
(KNC)";"11.22
USD"
"Iconic
(ICON)";"0.050025
USD"
"Aidos Kuneen
(ADK)";"16.21
USD"
"WETH
(WETH)";"438.54
USD"
"BenjiRolls
(BENJI)";"0.001688
USD"
"Argus
(ARGUS)";"0.011414
USD"
"RevolverCoin
(XRE)";"0.005239
USD"
"BlockCDN
(BCDN)";"0.010171
USD"
"OTCBTC Token
(OTB)";"0.191329
USD"
"Bankcoin
(B@)";"0.007082
USD"
"Level Up Coin
(LUC)";"0.005569
USD"
"GoldBlocks
(GB)";"0.008813
USD"
"ContractNet
(CNET)";"0.160671
USD"
"Royalties
(XRY)";"0.000038
USD"
"BoostCoin
(BOST)";"0.006736
USD"
"Cloud
(CLD)";"0.020005
USD"
"Infinitecoin
(IFC)";"0.000031
USD"
"iQuant
(IQT)";"0.033387
USD"
"Concoin
(CONX)";"0.006926
USD"
"Royal Kingdom Coin
(RKC)";"0.004990
USD"
"SalPay
(SAL)";"0.049050
USD"
"Protean
(PRN)";"0.000017
USD"
"Hyper
(HYPER)";"0.009921
USD"
"Sharkcoin
(SAK)";"0.001811
USD"
"SnipCoin
(SNIP)";"0.000429
USD"
"Cheapcoin
(CHEAP)";"0.000253
USD"
"GOLD Reward Token
(GRX)";"0.005302
USD"
"Catcoin
(CAT)";"0.013977
USD"
"TeslaCoilCoin
(TESLA)";"1.87
USD"
"GameChain System
(GCS)";"0.003484
USD"
"Tellurion
(TELL)";"0.000370
USD"
"Infinity Economics
(XIN)";"0.007472
USD"
"ICOBID
(ICOB)";"0.000562
USD"
"VectorAI
(VEC2)";"0.002058
USD"
"Freyrchain
(FREC)";"0.008479
USD"
"Content Neutrality Network
(CNN)";"0.001615
USD"
"CK USD
(CKUSD)";"0.996512
USD"
"Internet of Things
(XOT)";"149.75
USD"
"FuzzBalls
(FUZZ)";"0.008607
USD"
"Rupee
(RUP)";"0.025135
USD"
"Rawcoin
(XRC)";"0.008794
USD"
"Seele
(SEELE)";"0.199484
USD"
"Sentinel Protocol
(UPP)";"0.054842
USD"
"Alphabit
(ABC)";"26.29
USD"
"Penta
(PNT)";"0.003145
USD"
"Animation Vision Cash
(AVH)";"0.003774
USD"
"Egretia
(EGT)";"0.010349
USD"
"Levocoin
(LEVO)";"0.000437
USD"
"BitSerial
(BTE)";"0.003056
USD"
"Roofs
(ROOFS)";"0.000374
USD"
"Aces
(ACES)";"0.000187
USD"
"CryptCoin
(CRYPT)";"0.080521
USD"
"High Gain
(HIGH)";"0.000125
USD"
"Influence Chain
(INC)";"0.122079
USD"
"PROUD Money
(PROUD)";"0.020832
USD"
"StarChain
(STC)";"0.025729
USD"
"Trittium
(TRTT)";"0.060437
USD"
"AWARE
(AT)";"0.012959
USD"
"Cardstack
(CARD)";"0.004765
USD"
"PrismChain
(PRM)";"0.000700
USD"
"LetItRide
(LIR)";"0.000748
USD"
"ERC20
(ERC20)";"1.12
USD"
"W3Coin
(W3C)";"0.000229
USD"
"TurboCoin
(TURBO)";"0.000062
USD"
"Rhenium
(XRH)";"0.044966
USD"
"Bolenum
(BLN)";"0.002183
USD"
"PressOne
(PRS)";"0.136881
USD"
"Powercoin
(PWR)";"0.000001
USD"
"Asiadigicoin
(ADCN)";"0.001372
USD"
"Bankera
(BNK)";"0.005149
USD"
"SocialCoin
(SOCC)";"0.009110
USD"
"OceanChain
(OC)";"0.001436
USD"
"Exchange Union
(XUC)";"4.97
USD"
"LandCoin
(LDCN)";"0.000936
USD"
"Bubble
(BUB)";"0.004179
USD"
"Bitcoin God
(GOD)";"13.41
USD"
"Bittwatt
(BWT)";"0.041331
USD"
"Coimatic 3.0
(CTIC3)";"0.002107
USD"
"DasCoin
(DASC)";"0.092493
USD"
"BlazerCoin
(BLAZR)";"0.000686
USD"
"EggCoin
(EGG)";"0.010897
USD"
"MSD
(MSD)";"0.003368
USD"
"Huncoin
(HNC)";"0.000436
USD"
"CoffeeCoin
(CFC)";"0.000936
USD"
"First Bitcoin Capital
(BITCF)";"0.070105
USD"
"Bit-Z Token
(BZ)";"0.196684
USD"
"Regacoin
(REGA)";"0.000374
USD"
"Ether Zero
(ETZ)";"0.197773
USD"
"Litecred
(LTCR)";"0.001186
USD"
"Libra Credit
(LBA)";"0.101981
USD"
"WA Space
(WA)";"0.004305
USD"
"Honey
(HONEY)";"0.090937
USD"
"Acute Angle Cloud
(AAC)";"0.027351
USD"
"Slothcoin
(SLOTH)";"0.000003
USD"
"DWS
(DWS)";"0.917606
USD"
"Budbo
(BUBO)";"0.016144
USD"
"MarxCoin
(MARX)";"0.001095
USD"
"SEER
(SEER)";"0.005916
USD"
"SHACoin
(SHA)";"0.000811
USD"
"Omicron
(OMC)";"0.056757
USD"
"Wi Coin
(WIC)";"0.000561
USD"
"ShellCoin
(SHELL)";"0.018657
USD"
"FansTime
(FTI)";"0.006361
USD"
"ATMCoin
(ATMC)";"0.402894
USD"
"Minex
(MINEX)";"0.004009
USD"
"Aseancoin
(ASN)";"0.003241
USD"
"Rcoin
(RCN)";"0.000062
USD"
"BitAsean
(BAS)";"0.004336
USD"
"Loopring [NEO]
(LRN)";"0.239898
USD"
"Kronecoin
(KRONE)";"0.003867
USD"
"JavaScript Token
(JS)";"0.001372
USD"
"JobsCoin
(JOBS)";"0.000312
USD"
"EJOY
(EJOY)";"0.001006
USD"
"Rublix
(RBLX)";"0.130551
USD"
"COMSA [ETH]
(CMS)";"0.205455
USD"
"CrevaCoin
(CREVA)";"0.000125
USD"
"STEX
(STEX)";"1.78
USD"
"DaTa eXchange
(DTX)";"0.030838
USD"
"EA Coin
(EAG)";"0.001997
USD"
"PoSToken
(POS)";"0.034928
USD"
"SegWit2x
(B2X)";"0.311468
USD"
"Decentralized Machine Learning
(DML)";"0.019296
USD"
"EduCoin
(EDU)";"0.001627
USD"
"Global Social Chain
(GSC)";"0.045698
USD"
"Hyper Pay
(HPY)";"0.008018
USD"
"Storjcoin X
(SJCX)";"0.621968
USD"
"Smoke
(SMOKE)";"0.031878
USD"
"POPCHAIN
(PCH)";"0.031337
USD"
"GrandCoin
(GDC)";"0.000187
USD"
"0xcert
(ZXC)";"0.038023
USD"
"NEO GOLD
(NEOG)";"0.001185
USD"
"Antimatter
(ANTX)";"0.000125
USD"
"Karatgold Coin
(KBC)";"0.010168
USD"
"Axiom
(AXIOM)";"0.007547
USD"
"BetaCoin
(BET)";"0.001251
USD"
"BioBar
(BIOB)";"0.013489
USD"
"PosEx
(PEX)";"0.007675
USD"
"AnarchistsPrime
(ACP)";"0.002433
USD"
"NamoCoin
(NAMO)";"0.000124
USD"
"WINCOIN
(WC)";"0.428707
USD"
"BnrtxCoin
(BNX)";"0.000998
USD"
"Aurora
(AOA)";"0.048500
USD"
"Maggie
(MAG)";"0.006687
USD"
"Candy
(CANDY)";"0.000130
USD"
"Project-X
(NANOX)";"43597.20
USD"
"BitCoal
(COAL)";"0.007870
USD"
"InvestDigital
(IDT)";"0.023967
USD"
"Pixie Coin
(PXC)";"0.001544
USD"
"CORION
(COR)";"0.067485
USD"
"Dorado
(DOR)";"0.012967
USD"
"Dutch Coin
(DUTCH)";"0.000187
USD"
"Content and AD Network
(CAN)";"0.012496
USD"
"Hero
(HERO)";"0.090193
USD"
"Bitok
(BITOK)";"0.000064
USD"
"SJWCoin
(SJW)";"0.000250
USD"
"Etherecash
(ECH)";"0.013166
USD"
"Coupecoin
(COUPE)";"0.000045
USD"
"Credence Coin
(CRDNC)";"0.009394
USD"
"Dignity
(DIG)";"0.103866
USD"
"Electronic PK Chain
(EPC)";"0.034320
USD"
"LiteCoin Ultra
(LTCU)";"0.016779
USD"
"UniversalRoyalCoin
(UNRC)";"0.000250
USD"
"TopChain
(TOPC)";"0.016774
USD"
"DigiFinexToken
(DFT)";"0.669827
USD"
"Magnum
(MGM)";"0.000748
USD"
"ZIP
(ZIP)";"0.004360
USD"

USD"
"nUSD
(NUSD)";"1.00
USD"
"Dollar Online
(DOLLAR)";"0.012474
USD"
"Runners
(RUNNERS)";"0.000187
USD"
"Monero Original
(XMO)";"2.71
USD"
"
"HashCoin
(HSC)";"0.002298
USD"

USD"
"Metronome
(MET)";"2.60
USD"
"CryptopiaFeeShares
(CEFS)";"672.98
USD"
"Show
(SHOW)";"0.002206
USD"
"Save and Gain
(SANDG)";"0.005302
USD"
"First Bitcoin
(BIT)";"0.010291
USD"
"UnlimitedIP
(UIP)";"0.010612
USD"
"Consensus
(SEN)";"0.016029
USD"
"CarBlock
(CAR)";"0.022820
USD"
"Ulatech
(ULA)";"0.011364
USD"
"Engine
(EGCC)";"0.001533
USD"
"ClubCoin
(CLUB)";"0.557408
USD"
"Cybereits
(CRE)";"0.018249
USD"
"TopCoin
(TOP)";"0.000801
USD"
"MIRQ
(MRQ)";"0.005114
USD"
"Super Bitcoin
(SBTC)";"11.30
USD"
"BT2 [CST]
(BT2)";"9.88
USD"
"PLNcoin
(PLNC)";"0.001559
USD"
"SISA
(SISA)";"0.006557
USD"
"FAPcoin
(FAP)";"0.000437
USD"
"DynamicCoin
(DMC)";"0.000250
USD"
"ORS Group
(ORS)";"0.045300
USD"
"Zayedcoin
(ZYD)";"0.005052
USD"
"iBank
(IBANK)";"0.001988
USD"
"Essentia
(ESS)";"0.022566
USD"
"HODL Bucks
(HDLB)";"0.016279
USD"
"OneLedger
(OLT)";"0.039240
USD"
"AvatarCoin
(AV)";"0.033057
USD"
"Magnetcoin
(MAGN)";"0.050928
USD"
"BitSoar
(BSR)";"0.000250
USD"
"FairGame
(FAIR)";"0.011661
USD"
"BowsCoin
(BSC)";"0.002807
USD"
"HalalChain
(HLC)";"0.066300
USD"
"Couchain
(COU)";"0.000100
USD"
"Skrumble Network
(SKM)";"0.016891
USD"
"Vault Coin
(VLTC)";"0.000062
USD"
"Read
(READ)";"0.008544
USD"
"Donationcoin
(DON)";"0.000624
USD"
"Golos Gold
(GBG)";"0.043520
USD"
"Jingtum Tech
(SWTC)";"0.003826
USD"
"Everipedia
(IQ)";"0.039010
USD"
"BeeKan
(BKBT)";"0.007412
USD"
"UGAIN
(GAIN)";"0.001126
USD"
"Birds
(BIRDS)";"0.000187
USD"
"Slevin
(SLEVIN)";"0.000374
USD"
"Vcash
(XVC)";"0.078026
USD"
"Tripio
(TRIO)";"0.009003
USD"
"Marijuanacoin
(MAR)";"0.019085
USD"
"RabbitCoin
(RBBT)";"0.000019
USD"
"Coimatic 2.0
(CTIC2)";"0.000561
USD"
"Avoncoin
(ACN)";"0.000187
USD"
GoNetwork
(GOT)";"0.734545
USD"
"EmberCoin
(EMB)";"4e-07
USD"
"RichCoin
(RICHX)";"0.002744
USD"
"Bastonet
(BSN)";"0.000062
USD"
"SIGMAcoin
(SIGMA)";"0.008671
USD"
"StockChain
(SCC)";"0.003769
USD"
"GlassCoin
(GLS)";"0.004990
USD"
"LightChain
(LIGHT)";"0.000732
USD"
"POLY AI
(AI)";"0.000122
USD"
"Fargocoin
(FRGC)";"0.320563
USD"
"ChatCoin
(CHAT)";"0.040170
USD"
"TraDove B2BCoin
(BBC)";"0.019121
USD"
"Monero Classic
(XMC)";"2.57
USD"
"Bodhi [ETH]
(BOE)";"0.061132
USD"
"Sakuracoin
(SKR)";"0.001622
USD"
